customer_id,total_spend,spend_tier
,9295.5,High
3694.0,1177.44,High
1319.0,919.56,Medium
1033.0,898.65,Medium
4268.0,727.92,Medium
262.0,714.78,Medium
4817.0,713.65,Medium
2953.0,658.24,Medium
1080.0,595.68,Medium
265.0,588.72,Medium
2234.0,586.23,Medium
3825.0,567.25,Medium
2625.0,454.88,Low
2199.0,447.4,Low
1125.0,440,Low
2654.0,417.12,Low
664.0,390.82,Low
3339.0,390.6,Low
668.0,386.55,Low
751.0,363.8,Low
2324.0,361.74,Low
790.0,339.87,Low
4153.0,331.45,Low
3398.0,331.45,Low
130.0,323.32,Low
3244.0,321.44,Low
3456.0,310.59,Low
727.0,309.24,Low
2907.0,303.56,Low
1441.0,279.76,Low
979.0,278.08,Low
2512.0,269.04,Low
2373.0,242.49,Low
2260.0,240.06,Low
2904.0,228.18,Low
4755.0,226.9,Low
3357.0,216.15,Low
3151.0,213.08,Low
872.0,210.78,Low
969.0,209.6,Low
2832.0,204.72,Low
4379.0,199.2,Low
4037.0,185.76,Low
597.0,183.4,Low
1998.0,181.74,Low
678.0,180.35,Low
347.0,179.25,Low
4170.0,176.08,Low
3860.0,174.57,Low
398.0,172.92,Low
4053.0,168.18,Low
4052.0,164.56,Low
4401.0,161.82,Low
521.0,157.36,Low
581.0,154.65,Low
2857.0,153.24,Low
3909.0,149.4,Low
1034.0,142.7,Low
924.0,136.65,Low
2010.0,134.52,Low
3882.0,126.57,Low
3072.0,124,Low
4869.0,123.72,Low
2510.0,121.88,Low
4559.0,121.64,Low
3104.0,115.3,Low
2121.0,114.5,Low
4075.0,109.62,Low
3506.0,103.92,Low
3493.0,100.44,Low
4365.0,99.2,Low
4328.0,99.12,Low
3304.0,99.12,Low
2651.0,98.92,Low
1366.0,97.89,Low
1665.0,97.68,Low
2693.0,96.3,Low
1714.0,95.78,Low
3870.0,95.64,Low
689.0,93.8,Low
906.0,92.56,Low
913.0,89.32,Low
2829.0,88.68,Low
3573.0,87.54,Low
80.0,85.2,Low
500.0,84.38,Low
164.0,81.3,Low
2147.0,81.06,Low
168.0,78.68,Low
4161.0,76.06,Low
2998.0,75.8,Low
3160.0,74.7,Low
3255.0,73.64,Low
2120.0,71.96,Low
3875.0,71.02,Low
4364.0,70.02,Low
4914.0,69.48,Low
3912.0,69.48,Low
1502.0,69.28,Low
4337.0,67.55,Low
4240.0,67.26,Low
2152.0,66.75,Low
941.0,63.69,Low
975.0,63.36,Low
4973.0,61.29,Low
2860.0,61.29,Low
4411.0,61.2,Low
371.0,60.64,Low
1291.0,60.42,Low
3447.0,60.12,Low
896.0,58.8,Low
524.0,56.73,Low
1160.0,55.8,Low
428.0,55.56,Low
3399.0,53.27,Low
4459.0,53.27,Low
667.0,51.9,Low
4922.0,51.9,Low
3680.0,51.7,Low
831.0,50.9,Low
492.0,50.86,Low
2648.0,50.58,Low
4238.0,49.02,Low
1564.0,49.02,Low
3046.0,47.2,Low
4939.0,46.95,Low
3969.0,46.6,Low
4800.0,45.85,Low
491.0,43.08,Low
4785.0,42.36,Low
3355.0,42.32,Low
1286.0,42.13,Low
2351.0,42.1,Low
3701.0,41.91,Low
4433.0,40.7,Low
40.0,39.87,Low
1952.0,39.28,Low
811.0,36.75,Low
1982.0,35.56,Low
518.0,35.37,Low
3758.0,35.26,Low
4171.0,35.1,Low
180.0,34.62,Low
3107.0,34.2,Low
4766.0,34.15,Low
2176.0,32.63,Low
720.0,32.56,Low
3632.0,32.44,Low
295.0,30.9,Low
3082.0,29.7,Low
4028.0,29.4,Low
233.0,28.84,Low
1265.0,28.36,Low
469.0,27.9,Low
1972.0,27.74,Low
466.0,26.58,Low
684.0,25.91,Low
3809.0,23.5,Low
4286.0,23.2,Low
1604.0,22.64,Low
2344.0,21.96,Low
1748.0,21.79,Low
740.0,21.42,Low
4073.0,20.34,Low
2961.0,20.08,Low
3967.0,19.97,Low
2483.0,19.11,Low
2073.0,18.84,Low
4249.0,18.56,Low
215.0,18.05,Low
483.0,17.78,Low
2567.0,17.37,Low
360.0,17.22,Low
2710.0,15.27,Low
441.0,14.63,Low
1297.0,14.02,Low
3354.0,13.66,Low
826.0,11.79,Low
1504.0,9.9,Low
3985.0,9.64,Low
366.0,8.4,Low
4275.0,8.38,Low
1252.0,7.98,Low
4731.0,7.23,Low
1727.0,6.37,Low
3730.0,5.2,Low
4643.0,2.22,Low
