customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_code,customer_segment
,0,1765,18338061.370001327,5,5,5,555,Champions
1846.0,30,106,17773.22999999999,2,5,5,255,"At Risk"
1404.0,1,113,17600.109999999997,5,5,5,555,Champions
3969.0,87,109,17572.740000000005,1,5,5,155,"At Risk"
3727.0,26,108,17473.099999999995,2,5,5,255,"At Risk"
4900.0,5,115,17367.410000000007,4,5,5,455,Champions
4184.0,2,119,17303.999999999996,5,5,5,555,Champions
3845.0,6,126,17287.19000000001,4,5,5,455,Champions
1962.0,11,103,17212.999999999996,4,5,5,455,Champions
1343.0,0,105,17028.259999999995,5,5,5,555,Champions
3378.0,3,97,16938.889999999996,5,4,5,545,Champions
1169.0,90,104,16918.800000000003,1,5,5,155,"At Risk"
283.0,41,99,16879.78,1,4,5,145,"At Risk"
3680.0,28,122,16806.78,2,5,5,255,"At Risk"
559.0,26,114,16736.510000000002,2,5,5,255,"At Risk"
4915.0,7,115,16714.399999999998,4,5,5,455,Champions
2636.0,18,110,16667.04,3,5,5,355,Loyal
3424.0,8,116,16619.600000000006,4,5,5,455,Champions
3756.0,31,115,16388.45,2,5,5,255,"At Risk"
2771.0,5,106,16382.079999999996,4,5,5,455,Champions
2804.0,1,109,16349.959999999997,5,5,5,555,Champions
2360.0,71,101,16331.139999999994,1,4,5,145,"At Risk"
4337.0,47,99,16323.429999999997,1,4,5,145,"At Risk"
3865.0,15,112,16312.48,3,5,5,355,Loyal
3695.0,0,110,16268.349999999999,5,5,5,555,Champions
2895.0,42,95,16219.419999999993,1,3,5,135,"At Risk"
1966.0,24,105,16205.730000000003,2,5,5,255,"At Risk"
467.0,2,107,16188.26,5,5,5,555,Champions
4227.0,53,112,16182.669999999998,1,5,5,155,"At Risk"
2923.0,12,114,16157.079999999993,3,5,5,355,Loyal
249.0,34,105,16105.089999999997,2,5,5,255,"At Risk"
702.0,10,97,16090.01,4,4,5,445,Champions
4316.0,9,110,16060.849999999997,4,5,5,455,Champions
4078.0,19,117,16060.36,3,5,5,355,Loyal
1852.0,68,97,16047.01,1,4,5,145,"At Risk"
4510.0,9,118,16042.559999999992,4,5,5,455,Champions
267.0,29,97,16013.609999999997,2,4,5,245,"At Risk"
4524.0,7,112,15986.839999999993,4,5,5,455,Champions
701.0,42,103,15920.339999999993,1,5,5,155,"At Risk"
4377.0,1,105,15916.859999999995,5,5,5,555,Champions
2166.0,4,110,15863.13999999999,5,5,5,555,Champions
3285.0,27,115,15854.239999999996,2,5,5,255,"At Risk"
1867.0,3,95,15852.970000000001,5,3,5,535,Others
4742.0,21,104,15848.909999999994,3,5,5,355,Loyal
1824.0,105,102,15845.700000000003,1,5,5,155,"At Risk"
4396.0,17,115,15843.099999999997,3,5,5,355,Loyal
3469.0,19,114,15778.609999999999,3,5,5,355,Loyal
3317.0,61,89,15765.690000000006,1,2,5,125,Lost
455.0,18,101,15765.210000000001,3,4,5,345,Loyal
3678.0,27,98,15752.469999999998,2,4,5,245,"At Risk"
3873.0,2,108,15750.200000000003,5,5,5,555,Champions
509.0,58,105,15699.42,1,5,5,155,"At Risk"
3470.0,61,102,15697.789999999995,1,5,5,155,"At Risk"
3272.0,21,117,15681.679999999995,3,5,5,355,Loyal
4345.0,0,105,15657.519999999997,5,5,5,555,Champions
2308.0,71,100,15657.250000000002,1,4,5,145,"At Risk"
705.0,0,103,15641.620000000006,5,5,5,555,Champions
3794.0,3,92,15638.46,5,3,5,535,Others
2612.0,36,115,15572.920000000002,2,5,5,255,"At Risk"
132.0,2,102,15552.860000000006,5,5,5,555,Champions
414.0,2,97,15521.86,5,4,5,545,Champions
2217.0,49,119,15487.810000000001,1,5,5,155,"At Risk"
348.0,6,102,15483.890000000003,4,5,5,455,Champions
2124.0,24,101,15471.589999999997,2,4,5,245,"At Risk"
3544.0,26,120,15464.029999999993,2,5,5,255,"At Risk"
4356.0,7,103,15462.830000000005,4,5,5,455,Champions
4840.0,4,95,15461.050000000007,5,3,5,535,Others
66.0,3,114,15436.670000000004,5,5,5,555,Champions
3084.0,5,124,15430.329999999996,4,5,5,455,Champions
1324.0,2,110,15427.230000000003,5,5,5,555,Champions
4689.0,27,101,15412.680000000002,2,4,5,245,"At Risk"
250.0,12,103,15411.919999999998,3,5,5,355,Loyal
3857.0,17,109,15403.869999999995,3,5,5,355,Loyal
4604.0,26,106,15403.409999999996,2,5,5,255,"At Risk"
4869.0,14,113,15394.960000000008,3,5,5,355,Loyal
2461.0,13,108,15379.689999999999,3,5,5,355,Loyal
3856.0,33,99,15379.17,2,4,5,245,"At Risk"
2425.0,153,106,15368.119999999995,1,5,5,155,"At Risk"
224.0,0,103,15346.519999999993,5,5,5,555,Champions
3536.0,20,109,15334.550000000003,3,5,5,355,Loyal
2273.0,40,119,15311.140000000005,1,5,5,155,"At Risk"
2625.0,2,99,15294.429999999997,5,4,5,545,Champions
3172.0,35,107,15293.940000000004,2,5,5,255,"At Risk"
1869.0,9,118,15288.370000000006,4,5,5,455,Champions
394.0,14,99,15281.789999999999,3,4,5,345,Loyal
4079.0,34,103,15268.06,2,5,5,255,"At Risk"
3403.0,22,98,15249.889999999996,3,4,5,345,Loyal
4248.0,7,95,15242.070000000002,4,3,5,435,Others
3591.0,21,109,15241.009999999997,3,5,5,355,Loyal
4442.0,33,106,15235.069999999996,2,5,5,255,"At Risk"
724.0,10,101,15222.069999999998,4,4,5,445,Champions
4221.0,30,107,15186.929999999998,2,5,5,255,"At Risk"
4969.0,8,111,15140.369999999997,4,5,5,455,Champions
4723.0,5,97,15133.499999999995,4,4,5,445,Champions
3208.0,61,112,15124.350000000004,1,5,5,155,"At Risk"
526.0,18,100,15121.97,3,4,5,345,Loyal
4178.0,18,108,15107.120000000004,3,5,5,355,Loyal
2834.0,29,106,15098.130000000005,2,5,5,255,"At Risk"
4250.0,76,113,15097.089999999997,1,5,5,155,"At Risk"
1462.0,1,99,15068.789999999992,5,4,5,545,Champions
655.0,38,109,15068.550000000003,2,5,5,255,"At Risk"
4094.0,24,103,15053.85,2,5,5,255,"At Risk"
1888.0,2,102,15041.449999999999,5,5,5,555,Champions
4587.0,10,105,15041.200000000004,4,5,5,455,Champions
1575.0,33,108,15027.38,2,5,5,255,"At Risk"
3151.0,19,119,15019.729999999998,3,5,5,355,Loyal
4481.0,31,114,15018.729999999994,2,5,5,255,"At Risk"
2245.0,47,103,15012.74,1,5,5,155,"At Risk"
2977.0,4,112,14996.11,5,5,5,555,Champions
4769.0,53,115,14987.08999999999,1,5,5,155,"At Risk"
4955.0,9,120,14984.969999999996,4,5,5,455,Champions
1173.0,12,103,14972.029999999997,3,5,5,355,Loyal
1974.0,0,102,14969.89,5,5,5,555,Champions
369.0,33,115,14962.930000000006,2,5,5,255,"At Risk"
3415.0,6,105,14940.579999999998,4,5,5,455,Champions
3718.0,16,115,14934.799999999992,3,5,5,355,Loyal
1256.0,4,104,14928.409999999994,4,5,5,455,Champions
3705.0,35,98,14927.659999999996,2,4,5,245,"At Risk"
3782.0,2,102,14911.92000000001,5,5,5,555,Champions
4512.0,3,104,14909.479999999998,5,5,5,555,Champions
4014.0,25,111,14891.460000000006,2,5,5,255,"At Risk"
716.0,7,103,14888.539999999995,4,5,5,455,Champions
884.0,23,99,14884.049999999997,2,4,5,245,"At Risk"
2574.0,23,103,14873.270000000006,2,5,5,255,"At Risk"
404.0,24,100,14835.279999999999,2,4,5,245,"At Risk"
1074.0,53,97,14818.980000000001,1,4,5,145,"At Risk"
4890.0,34,105,14818.410000000005,2,5,5,255,"At Risk"
3676.0,31,105,14817.619999999999,2,5,5,255,"At Risk"
1648.0,6,103,14816.05,4,5,5,455,Champions
4546.0,10,107,14811.380000000003,4,5,5,455,Champions
34.0,16,96,14792.320000000002,3,4,5,345,Loyal
1638.0,30,109,14789.180000000008,2,5,5,255,"At Risk"
1545.0,5,108,14767.75,4,5,5,455,Champions
2578.0,35,118,14766.850000000002,2,5,5,255,"At Risk"
4.0,40,86,14759.840000000004,1,2,5,125,Lost
4563.0,2,95,14752.539999999999,5,3,5,535,Others
1688.0,9,104,14751.919999999995,4,5,5,455,Champions
243.0,4,94,14744.180000000002,5,3,5,535,Others
2807.0,77,95,14740.649999999998,1,3,5,135,"At Risk"
2591.0,2,99,14735.630000000001,5,4,5,545,Champions
4949.0,14,101,14730.640000000003,3,4,5,345,Loyal
4725.0,2,97,14729.370000000006,5,4,5,545,Champions
211.0,6,110,14728.239999999998,4,5,5,455,Champions
2420.0,34,106,14727.239999999996,2,5,5,255,"At Risk"
456.0,0,114,14721.119999999997,5,5,5,555,Champions
1104.0,20,95,14715.050000000001,3,3,5,335,Others
3972.0,17,95,14702.639999999998,3,3,5,335,Others
1642.0,0,97,14701.200000000004,5,4,5,545,Champions
2183.0,58,96,14700.170000000004,1,3,5,135,"At Risk"
1327.0,13,106,14695.8,3,5,5,355,Loyal
1535.0,0,120,14675.880000000003,5,5,5,555,Champions
4263.0,11,110,14675.300000000001,4,5,5,455,Champions
743.0,8,123,14671.82,4,5,5,455,Champions
2110.0,9,111,14661.729999999998,4,5,5,455,Champions
3448.0,37,101,14661.04,2,4,5,245,"At Risk"
4684.0,9,108,14655.349999999999,4,5,5,455,Champions
273.0,33,107,14655.139999999998,2,5,5,255,"At Risk"
2568.0,6,104,14655.1,4,5,5,455,Champions
1102.0,5,95,14635.820000000003,4,3,5,435,Others
2161.0,7,94,14630.140000000003,4,3,5,435,Others
4233.0,32,108,14620.870000000003,2,5,5,255,"At Risk"
656.0,10,96,14620.439999999991,4,4,5,445,Champions
1777.0,31,109,14620.36999999999,2,5,5,255,"At Risk"
2758.0,67,92,14612.930000000004,1,3,5,135,"At Risk"
2717.0,9,110,14608.95,4,5,5,455,Champions
3875.0,83,105,14607.820000000005,1,5,5,155,"At Risk"
372.0,60,108,14606.250000000007,1,5,5,155,"At Risk"
2604.0,7,102,14601.830000000002,4,5,5,455,Champions
1290.0,9,103,14594.05,4,5,5,455,Champions
4632.0,54,103,14588.119999999999,1,5,5,155,"At Risk"
1096.0,5,93,14587.290000000005,4,3,5,435,Others
2832.0,0,111,14583.619999999994,5,5,5,555,Champions
341.0,33,118,14578.550000000001,2,5,5,255,"At Risk"
2975.0,20,103,14574.239999999998,3,5,5,355,Loyal
301.0,23,122,14571.119999999995,2,5,5,255,"At Risk"
4245.0,33,94,14570.440000000008,2,3,5,235,"At Risk"
4402.0,3,98,14561.229999999992,5,4,5,545,Champions
4560.0,0,108,14527.12,5,5,5,555,Champions
983.0,0,99,14522.610000000004,5,4,5,545,Champions
2277.0,25,109,14516.66,2,5,5,255,"At Risk"
3430.0,7,92,14515.660000000002,4,3,5,435,Others
2740.0,42,104,14492.769999999997,1,5,5,155,"At Risk"
2267.0,40,92,14490.649999999996,1,3,5,135,"At Risk"
4691.0,70,110,14489.980000000001,1,5,5,155,"At Risk"
791.0,11,102,14489.330000000002,4,5,5,455,Champions
4875.0,30,113,14476.32,2,5,5,255,"At Risk"
870.0,9,113,14466.75,4,5,5,455,Champions
4371.0,60,107,14464.13,1,5,5,155,"At Risk"
807.0,12,83,14460.479999999998,3,1,5,315,Others
1111.0,13,108,14458.579999999996,3,5,5,355,Loyal
2971.0,3,101,14452.739999999998,5,4,5,545,Champions
337.0,6,95,14451.88,4,3,5,435,Others
1585.0,18,121,14449.169999999995,3,5,5,355,Loyal
540.0,10,96,14441.309999999998,4,4,5,445,Champions
