sales_month,monthly_revenue,running_total_revenue
2021-01,1980351.5600000003,1980351.5600000003
2021-02,1985618.839999989,3965970.399999989
2021-03,830789.5099999909,4796759.90999998
2021-04,1205290.579999999,6002050.489999979
2021-05,1714872.0799999805,7716922.569999959
2021-06,1102477.799999986,8819400.369999945
2021-07,1593672.5199999912,10413072.889999937
2021-08,1534914.4399999941,11947987.329999931
2021-09,743017.4899999979,12691004.81999993
2021-10,747330.3399999962,13438335.159999926
2021-11,880963.2199999989,14319298.379999924
2021-12,1010810.319999994,15330108.69999992
2022-01,1975953.2499999898,17306061.94999991
2022-02,1670850.6999999948,18976912.649999905
2022-03,744344.1499999989,19721256.799999904
2022-04,1496533.149999995,21217789.9499999
2022-05,1272792.369999978,22490582.319999877
2022-06,1048352.7399999887,23538935.059999865
2022-07,1551068.9599999902,25090004.019999854
2022-08,1597754.2900000014,26687758.309999857
2022-09,762643.699999993,27450402.00999985
2022-10,832061.5999999946,28282463.609999843
2022-11,802755.8199999994,29085219.429999843
2022-12,1147061.739999988,30232281.16999983
2023-01,2014743.2299999932,32247024.399999823
2023-02,1655498.629999995,33902523.029999815
2023-03,995092.5300000035,34897615.559999816
2023-04,1396571.0899999933,36294186.64999981
2023-05,1114145.989999981,37408332.63999979
2023-06,1124551.5799999882,38532884.21999978
2023-07,1401382.5099999895,39934266.72999977
2023-08,1452965.1599999904,41387231.88999976
2023-09,722727.1499999962,42109959.03999976
2023-10,804104.0099999965,42914063.04999976
2023-11,794452.4799999961,43708515.529999755
2023-12,1099262.6399999843,44807778.16999974
2024-01,2189798.2199999825,46997576.389999725
2024-02,1812338.7300000126,48809915.11999974
2024-03,1330568.1199999964,50140483.239999734
2024-04,1200399.5899999887,51340882.82999972
2024-05,1127492.3799999857,52468375.20999971
2024-06,1176750.5599999856,53645125.7699997
2024-07,1571128.4999999905,55216254.26999969
2024-08,1553432.8799999862,56769687.14999968
2024-09,755062.6399999971,57524749.78999968
2024-10,802670.0799999994,58327419.86999968
2024-11,807986.9199999977,59135406.78999967
2024-12,1013633.5699999895,60149040.359999664
2025-01,2021715.4899999918,62170755.84999966
2025-02,1744411.7499999886,63915167.599999644
2025-03,1583167.3399999973,65498334.93999964
2025-04,743263.6599999962,66241598.59999964
2025-05,1137914.6099999817,67379513.20999962
2025-06,1210872.9899999741,68590386.1999996
2025-07,1526375.8799999913,70116762.0799996
2025-08,1575600.6899999972,71692362.7699996
2025-09,751052.0599999968,72443414.8299996
2025-10,771516.4699999937,73214931.2999996
