cohort_month,cohort_customers,month_number,retained_customers,retention_pct
2021-01,99,0,87,87.88
2021-01,99,1,80,80.81
2021-01,99,2,76,76.77
2021-01,99,3,72,72.73
2021-01,99,4,93,93.94
2021-01,99,5,88,88.89
2021-01,99,6,83,83.84
2021-01,99,7,85,85.86
2021-01,99,8,69,69.70
2021-01,99,9,64,64.65
2021-01,99,10,75,75.76
2021-01,99,11,77,77.78
2021-01,99,12,90,90.91
2021-01,99,13,82,82.83
2021-01,99,14,72,72.73
2021-01,99,15,86,86.87
2021-01,99,16,89,89.90
2021-01,99,17,83,83.84
2021-01,99,18,76,76.77
2021-01,99,19,82,82.83
2021-01,99,20,73,73.74
2021-01,99,21,75,75.76
2021-01,99,22,65,65.66
2021-01,99,23,80,80.81
2021-01,99,24,88,88.89
2021-01,99,25,82,82.83
2021-01,99,26,72,72.73
2021-01,99,27,82,82.83
2021-01,99,28,80,80.81
2021-01,99,29,82,82.83
2021-01,99,30,82,82.83
2021-01,99,31,74,74.75
2021-01,99,32,72,72.73
2021-01,99,33,69,69.70
2021-01,99,34,74,74.75
2021-01,99,35,73,73.74
2021-01,99,36,91,91.92
2021-01,99,37,87,87.88
2021-01,99,38,75,75.76
2021-01,99,39,86,86.87
2021-01,99,40,86,86.87
2021-01,99,41,81,81.82
2021-01,99,42,81,81.82
2021-01,99,43,80,80.81
2021-01,99,44,64,64.65
2021-01,99,45,73,73.74
2021-01,99,46,77,77.78
2021-01,99,47,79,79.80
2021-01,99,48,90,90.91
2021-01,99,49,86,86.87
2021-01,99,50,91,91.92
2021-01,99,51,71,71.72
2021-01,99,52,86,86.87
2021-01,99,53,84,84.85
2021-01,99,54,83,83.84
2021-01,99,55,83,83.84
2021-01,99,56,71,71.72
2021-01,99,57,77,77.78
2021-02,66,0,55,83.33
2021-02,66,1,49,74.24
2021-02,66,2,54,81.82
2021-02,66,3,60,90.91
2021-02,66,4,54,81.82
2021-02,66,5,57,86.36
2021-02,66,6,52,78.79
2021-02,66,7,44,66.67
2021-02,66,8,47,71.21
2021-02,66,9,52,78.79
2021-02,66,10,51,77.27
2021-02,66,11,58,87.88
2021-02,66,12,56,84.85
2021-02,66,13,49,74.24
2021-02,66,14,51,77.27
2021-02,66,15,55,83.33
2021-02,66,16,53,80.30
2021-02,66,17,55,83.33
2021-02,66,18,47,71.21
2021-02,66,19,44,66.67
2021-02,66,20,57,86.36
2021-02,66,21,55,83.33
2021-02,66,22,55,83.33
2021-02,66,23,62,93.94
2021-02,66,24,51,77.27
2021-02,66,25,54,81.82
2021-02,66,26,53,80.30
2021-02,66,27,61,92.42
2021-02,66,28,54,81.82
2021-02,66,29,58,87.88
2021-02,66,30,51,77.27
2021-02,66,31,52,78.79
2021-02,66,32,42,63.64
2021-02,66,33,52,78.79
2021-02,66,34,51,77.27
2021-02,66,35,63,95.45
2021-02,66,36,57,86.36
2021-02,66,37,54,81.82
2021-02,66,38,53,80.30
2021-02,66,39,57,86.36
2021-02,66,40,48,72.73
2021-02,66,41,50,75.76
2021-02,66,42,52,78.79
2021-02,66,43,43,65.15
2021-02,66,44,48,72.73
2021-02,66,45,44,66.67
2021-02,66,46,49,74.24
2021-02,66,47,60,90.91
2021-02,66,48,54,81.82
2021-02,66,49,53,80.30
2021-02,66,50,48,72.73
2021-02,66,51,56,84.85
2021-02,66,52,52,78.79
2021-02,66,53,57,86.36
2021-02,66,54,52,78.79
2021-02,66,55,45,68.18
2021-02,66,56,42,63.64
2021-03,94,0,71,75.53
2021-03,94,1,77,81.91
2021-03,94,2,85,90.43
2021-03,94,3,77,81.91
2021-03,94,4,71,75.53
2021-03,94,5,79,84.04
2021-03,94,6,58,61.70
2021-03,94,7,63,67.02
2021-03,94,8,64,68.09
2021-03,94,9,71,75.53
2021-03,94,10,85,90.43
2021-03,94,11,81,86.17
2021-03,94,12,67,71.28
2021-03,94,13,78,82.98
2021-03,94,14,83,88.30
