metric,value
total_revenue_2021_to_oct2025,73214931.3
total_sales_no_discount,437475
total_sales_discounted,204368
top_category,Electronics
top_category_revenue,40794793.88
top_region,Dubai
top_region_revenue,41044846.36
customers_at_risk,1081
customers_lost,920
customers_champions,539
champions_pct_of_revenue,34.62
aov_no_discount,110.42
aov_discounted,121.88
aov_lift_pct_discounted_vs_full_price,10.37
promo_share_of_transactions_pct,31.84
yoy_growth_2024_pct,5.25
yoy_growth_2025_partial_pct,-14.83
repeat_purchase_rate_pct,100.0
