check,records_affected,run_ts
null_standardised,715507,2026-09-17 14:13:45.549351
age_implausible_discarded,236,2026-09-17 14:13:45.549351
age_derived_from_dob,482,2026-09-17 14:13:45.549351
occupation_group_imputed,302,2026-09-17 14:13:45.549351
postal_district_imputed,282,2026-09-17 14:13:45.549351
marital_status_imputed,0,2026-09-17 14:13:45.549351
residency_status_imputed,299,2026-09-17 14:13:45.549351
rows_quarantined_missing,899,2026-09-17 14:13:45.549351
exact_duplicates_removed,1500,2026-09-17 14:13:45.549351
fuzzy_duplicates_removed,1000,2026-09-17 14:13:45.549351
date_of_birth_unparseable,0,2026-09-17 14:13:45.549351
quote_date_unparseable,0,2026-09-17 14:13:45.549351
policy_start_date_unparseable,0,2026-09-17 14:13:45.549351
lapse_date_unparseable,0,2026-09-17 14:13:45.549351
claim_date_unparseable,0,2026-09-17 14:13:45.549351
date_logic_breaches,427,2026-09-17 14:13:45.549351
distribution_channel_unmapped,0,2026-09-17 14:13:45.549351
product_category_unmapped,173,2026-09-17 14:13:45.549351
policy_status_unmapped,0,2026-09-17 14:13:45.549351
claim_status_unmapped,0,2026-09-17 14:13:45.549351
age_out_of_range,131,2026-09-17 14:13:45.549351
annual_premium_sgd_out_of_range,367,2026-09-17 14:13:45.549351
sum_assured_sgd_out_of_range,0,2026-09-17 14:13:45.549351
claim_amount_sgd_out_of_range,236,2026-09-17 14:13:45.549351
claim_tat_days_out_of_range,220,2026-09-17 14:13:45.549351
copay_pct_out_of_range,334,2026-09-17 14:13:45.549351
nbp_margin_pct_out_of_range,0,2026-09-17 14:13:45.549351
fraud_risk_score_out_of_range,0,2026-09-17 14:13:45.549351
orphan_agent_ids,169,2026-09-17 14:13:45.549351
