iter	Logloss
0	0.6681229182
1	0.6449077941
2	0.6187878093
3	0.5971744532
4	0.5821968727
5	0.5685363024
6	0.5535685357
7	0.5412043346
8	0.5290051081
9	0.5194724374
10	0.5095495936
11	0.5005574999
12	0.4939031521
13	0.4874012146
14	0.4806809691
15	0.4742714525
16	0.4676133614
17	0.4630227001
18	0.4579477228
19	0.4530870567
20	0.4489552606
21	0.4442017507
22	0.4395902467
23	0.4353706885
24	0.4322669591
25	0.4287488982
26	0.42501233
27	0.4220991411
28	0.4184041862
29	0.4157481203
30	0.4123039366
31	0.4098608353
32	0.4076779011
33	0.4058992214
34	0.4036744133
35	0.4021245372
36	0.4003520291
37	0.3981889981
38	0.3963313638
39	0.3947073365
40	0.3928111135
41	0.3914357786
42	0.3899283386
43	0.3882590212
44	0.386416799
45	0.385174022
46	0.383599934
47	0.3822804788
48	0.3806757399
49	0.3790954621
50	0.3776970487
51	0.3761465894
52	0.374666175
53	0.3734160637
54	0.372666753
55	0.3715111043
56	0.3699398944
57	0.3692471605
58	0.3682235444
59	0.3669526991
60	0.3660182779
61	0.3649230318
62	0.3640490595
63	0.3626048056
64	0.3617049491
65	0.3609356218
66	0.3601827357
67	0.3582104885
68	0.3571450233
69	0.3560140867
70	0.3551230042
71	0.3536943937
72	0.3527830883
73	0.3519090431
74	0.3512228827
75	0.3503830506
76	0.349426745
77	0.3484908928
78	0.3476855831
79	0.3469358038
80	0.346125678
81	0.3455470386
82	0.3447572122
83	0.3441029718
84	0.3432851319
85	0.3426149476
86	0.3419629183
87	0.3411139325
88	0.340020493
89	0.3393317703
90	0.3387824051
91	0.3384815023
92	0.337816653
93	0.3371779143
94	0.3362300562
95	0.3355791736
96	0.334711009
97	0.3340649456
98	0.3334553093
99	0.3330798468
100	0.3325516509
101	0.3318715654
102	0.331388104
103	0.3309298327
104	0.3304977451
105	0.3301340336
106	0.3296035531
107	0.3291205609
108	0.3286828396
109	0.3281899209
110	0.3276665714
111	0.3271579126
112	0.3264340387
113	0.3259351164
114	0.32540087
115	0.3247411344
116	0.3242467477
117	0.3238211006
118	0.3231805876
119	0.3229525199
120	0.3224492108
121	0.321901545
122	0.3216212907
123	0.3211367413
124	0.3205363172
125	0.3201678094
126	0.3196096865
127	0.3194000183
128	0.3190246564
129	0.3185471389
130	0.3181203991
131	0.3176640005
132	0.3173291957
133	0.3170683913
134	0.3165449147
135	0.3160922585
136	0.3155518745
137	0.315128611
138	0.3148426339
139	0.3144815315
140	0.314172221
141	0.3137699839
142	0.3133791404
143	0.3128650848
144	0.3125495426
145	0.3122084962
146	0.3118914826
147	0.3114520763
148	0.3108352251
149	0.3104174386
150	0.310162848
151	0.3097576368
152	0.3091750258
153	0.3087773891
154	0.3084548203
155	0.3080304813
156	0.3076570863
157	0.3069302606
158	0.3064494495
159	0.3060332614
160	0.3054783882
161	0.305061453
162	0.3046126589
163	0.3042697321
164	0.3039345512
165	0.3036222767
166	0.3031475137
167	0.3027789289
168	0.3025259283
169	0.302230771
170	0.3018046984
171	0.3015181193
172	0.3008703316
173	0.3006153827
174	0.3003084417
175	0.2996753565
176	0.2990785859
177	0.298543955
178	0.29819802
179	0.2979351566
180	0.2973560969
181	0.2969366481
182	0.2965949685
183	0.2962431394
184	0.29570571
185	0.2953160398
186	0.2950475833
187	0.2947449399
188	0.2941992544
189	0.293851685
190	0.2934548656
191	0.2931019836
192	0.292714031
193	0.2922881937
194	0.2920558482
195	0.2915866713
196	0.2912042759
197	0.2908978692
198	0.2904810491
199	0.2901093409
200	0.2896745951
201	0.2892921033
202	0.288964047
203	0.2886924442
204	0.2883733798
205	0.2880932252
206	0.2878887759
207	0.287374842
208	0.2870517248
209	0.2867639971
210	0.2864103567
211	0.2861263293
212	0.2858031343
213	0.2854443118
214	0.2850601116
215	0.2847007309
216	0.2842012808
217	0.283622687
218	0.2833203855
219	0.2828855477
220	0.2823512634
221	0.2819270146
222	0.2815913225
223	0.2808151532
224	0.2803976786
225	0.2800712175
226	0.2797124906
227	0.2792769776
228	0.2789275967
229	0.2784344902
230	0.2779925432
231	0.2777909718
232	0.2773689827
233	0.276956771
234	0.2763865398
235	0.2758240369
236	0.2754165311
237	0.2749880619
238	0.2743111313
239	0.2737522143
240	0.2733795106
241	0.2729262371
242	0.2724859042
243	0.2720983419
244	0.2716107154
245	0.2710584394
246	0.2705822243
247	0.2700401197
248	0.269624964
249	0.2690037983
250	0.2685972976
251	0.267978718
252	0.2675989547
253	0.2671378061
254	0.2667337664
255	0.2661175942
256	0.2655905162
257	0.2652105821
258	0.2648435701
259	0.2641624639
260	0.2637284018
261	0.2630138641
262	0.2624663409
263	0.2618457292
264	0.2613789015
265	0.2607073132
266	0.2603541183
267	0.2598866279
268	0.2594360534
269	0.2589081825
270	0.2584349838
271	0.2580386733
272	0.2576361892
273	0.2571619159
274	0.2564677679
275	0.2559072122
276	0.2555274781
277	0.2548833242
278	0.2538564023
279	0.2533672987
280	0.2528667218
281	0.2525462987
282	0.2521427191
283	0.2518010587
284	0.2511844751
285	0.2507110007
286	0.2502327649
287	0.2498713415
288	0.2495175812
289	0.249088315
290	0.2485237222
291	0.2479324419
292	0.247384323
293	0.2469218162
294	0.2465688688
295	0.2460759271
296	0.245575938
297	0.2450062179
298	0.2443882399
299	0.2440463711
