iter	Passed	Remaining
0	8	2658
1	16	2472
2	24	2386
3	31	2349
4	39	2310
5	46	2295
6	54	2273
7	61	2259
8	69	2257
9	77	2244
10	84	2227
11	92	2215
12	99	2203
13	107	2190
14	114	2176
15	122	2169
16	129	2163
17	138	2168
18	145	2158
19	153	2151
20	162	2161
21	169	2146
22	177	2137
23	185	2130
24	192	2121
25	200	2108
26	207	2094
27	214	2087
28	222	2078
29	230	2071
30	237	2062
31	244	2051
32	252	2040
33	260	2036
34	267	2027
35	275	2019
36	283	2012
37	290	1999
38	297	1994
39	305	1985
40	313	1978
41	320	1970
42	328	1962
43	335	1953
44	343	1944
45	351	1939
46	358	1929
47	366	1922
48	374	1919
49	382	1913
50	390	1904
51	397	1897
52	405	1888
53	412	1881
54	420	1873
55	428	1866
56	435	1858
57	443	1851
58	451	1843
59	458	1834
60	466	1826
61	473	1816
62	480	1808
63	488	1800
64	496	1794
65	504	1787
66	511	1778
67	519	1771
68	526	1764
69	534	1756
70	542	1749
71	549	1741
72	557	1733
73	566	1728
74	573	1721
75	580	1711
76	588	1703
77	595	1695
78	603	1687
79	610	1678
80	617	1670
81	625	1662
82	633	1655
83	641	1648
84	648	1639
85	655	1631
86	663	1624
87	671	1617
88	679	1609
89	686	1602
90	694	1594
91	701	1587
92	709	1579
93	716	1571
94	724	1563
95	731	1554
96	738	1546
97	746	1538
98	753	1530
99	761	1523
100	769	1515
101	776	1507
102	784	1499
103	791	1492
104	799	1484
105	806	1476
106	814	1469
107	822	1462
108	830	1455
109	837	1447
110	845	1440
111	853	1432
112	860	1424
113	868	1416
114	875	1408
115	883	1400
116	890	1392
117	898	1385
118	906	1378
119	913	1370
120	921	1363
121	929	1355
122	936	1347
123	944	1340
124	951	1332
125	959	1325
126	967	1317
127	974	1310
128	982	1302
129	990	1294
130	997	1286
131	1004	1279
132	1012	1271
133	1019	1263
134	1027	1256
135	1035	1248
136	1042	1240
137	1050	1232
138	1057	1225
139	1064	1216
140	1072	1208
141	1079	1201
142	1086	1192
143	1093	1185
144	1101	1177
145	1109	1169
146	1116	1162
147	1123	1153
148	1130	1145
149	1138	1138
150	1145	1130
151	1153	1122
152	1161	1115
153	1168	1108
154	1176	1100
155	1183	1092
156	1192	1086
157	1200	1078
158	1208	1071
159	1216	1064
160	1223	1056
161	1231	1048
162	1238	1041
163	1246	1033
164	1254	1026
165	1261	1018
166	1269	1010
167	1276	1003
168	1284	995
169	1292	988
170	1300	980
171	1307	973
172	1315	965
173	1323	958
174	1330	950
175	1337	942
176	1345	934
177	1354	928
178	1361	920
179	1369	912
180	1376	905
181	1384	897
182	1392	890
183	1399	882
184	1407	875
185	1415	867
186	1422	859
187	1430	852
188	1438	844
189	1446	837
190	1453	829
191	1461	822
192	1469	814
193	1476	806
194	1484	799
195	1491	791
196	1499	783
197	1506	776
198	1514	768
199	1521	760
200	1529	753
201	1537	745
202	1544	738
203	1555	731
204	1562	724
205	1570	716
206	1577	708
207	1585	701
208	1593	693
209	1601	686
210	1608	678
211	1617	671
212	1625	663
213	1632	656
214	1639	648
215	1648	641
216	1656	633
217	1663	625
218	1671	618
219	1678	610
220	1686	602
221	1693	595
222	1701	587
223	1709	580
224	1717	572
225	1724	564
226	1732	557
227	1739	549
228	1747	541
229	1754	533
230	1762	526
231	1769	518
232	1777	510
233	1784	503
234	1792	495
235	1799	488
236	1807	480
237	1815	472
238	1823	465
239	1830	457
240	1838	450
241	1845	442
242	1853	434
243	1861	427
244	1868	419
245	1875	411
246	1883	404
247	1891	396
248	1898	388
249	1906	381
250	1913	373
251	1921	365
252	1929	358
253	1936	350
254	1944	343
255	1951	335
256	1959	327
257	1966	320
258	1974	312
259	1981	304
260	1989	297
261	1997	289
262	2004	282
263	2012	274
264	2020	266
265	2028	259
266	2036	251
267	2043	244
268	2051	236
269	2058	228
270	2066	221
271	2073	213
272	2081	205
273	2088	198
274	2096	190
275	2103	182
276	2111	175
277	2119	167
278	2126	160
279	2134	152
280	2141	144
281	2150	137
282	2157	129
283	2165	122
284	2173	114
285	2180	106
286	2188	99
287	2195	91
288	2203	83
289	2210	76
290	2218	68
291	2226	61
292	2233	53
293	2241	45
294	2248	38
295	2256	30
296	2263	22
297	2271	15
298	2279	7
299	2286	0
