subscriber_id,p_retain_if_treated,p_retain_if_untreated,uplift_score,segment
JIO10037241,0.9921051,0.8566008,0.1355043,Persuadable
JIO10033461,0.9999125,0.9996997,0.00021278858,Sure thing / Lost cause
JIO10058583,0.8439712,0.9414043,-0.09743309,Sleeping dog (do not disturb)
JIO10049015,0.9999716,0.99922013,0.00075149536,Sure thing / Lost cause
JIO10015616,0.9994993,0.98342127,0.016078055,Sure thing / Lost cause
JIO10022692,0.20397018,0.04105454,0.16291565,Persuadable
JIO10033384,0.999658,0.99878746,0.00087052584,Sure thing / Lost cause
JIO10061590,0.99968874,0.99856323,0.0011255145,Sure thing / Lost cause
JIO10033850,0.9704863,0.9858878,-0.015401542,Sure thing / Lost cause
JIO10008412,0.9993949,0.9992229,0.000172019,Sure thing / Lost cause
JIO10013812,0.999652,0.99592894,0.003723085,Sure thing / Lost cause
JIO10021746,0.99990165,0.9985039,0.0013977289,Sure thing / Lost cause
JIO10063330,0.99884796,0.9973928,0.0014551878,Sure thing / Lost cause
JIO10063430,0.99981266,0.99975127,6.1392784e-05,Sure thing / Lost cause
JIO10043933,0.9923543,0.99336046,-0.001006186,Sure thing / Lost cause
JIO10007240,0.9995987,0.9998293,-0.00023061037,Sure thing / Lost cause
JIO10033515,0.9989374,0.99860126,0.0003361702,Sure thing / Lost cause
JIO10052756,0.98941445,0.9883336,0.0010808706,Sure thing / Lost cause
JIO10020543,0.9986946,0.9996326,-0.0009379983,Sure thing / Lost cause
JIO10014248,0.3409485,0.70678526,-0.36583677,Sleeping dog (do not disturb)
JIO10004121,0.98976374,0.99934727,-0.009583533,Sure thing / Lost cause
JIO10019341,0.99815625,0.9986628,-0.0005065799,Sure thing / Lost cause
JIO10004450,0.99992645,0.9940201,0.0059063435,Sure thing / Lost cause
JIO10042324,0.0682433,0.4195082,-0.3512649,Sleeping dog (do not disturb)
JIO10058715,0.95594066,0.897242,0.058698654,Persuadable
JIO10000851,0.0056377556,0.024896106,-0.01925835,Sure thing / Lost cause
JIO10029144,0.969369,0.5691806,0.4001884,Persuadable
JIO10056801,0.98678595,0.9804583,0.006327629,Sure thing / Lost cause
JIO10024106,0.9902694,0.9980736,-0.0078041553,Sure thing / Lost cause
JIO10037903,0.99999666,0.9999875,9.179115e-06,Sure thing / Lost cause
JIO10037851,0.9955889,0.9951892,0.00039970875,Sure thing / Lost cause
JIO10019493,0.99419445,0.99745435,-0.0032598972,Sure thing / Lost cause
JIO10034576,0.99810827,0.9866873,0.011420965,Sure thing / Lost cause
JIO10058061,0.993737,0.9950795,-0.001342535,Sure thing / Lost cause
JIO10040194,0.99952924,0.9992663,0.0002629161,Sure thing / Lost cause
JIO10053173,0.9902964,0.99438125,-0.0040848255,Sure thing / Lost cause
JIO10044757,0.9999912,0.99975187,0.00023931265,Sure thing / Lost cause
JIO10027536,0.9999832,0.9984534,0.0015298128,Sure thing / Lost cause
JIO10048218,0.9994585,0.99866307,0.000795424,Sure thing / Lost cause
JIO10016904,0.99902844,0.99740237,0.0016260743,Sure thing / Lost cause
JIO10041436,0.7814042,0.5060082,0.275396,Persuadable
JIO10040066,0.99988616,0.9997383,0.00014787912,Sure thing / Lost cause
JIO10048029,0.9999666,0.9997683,0.00019830465,Sure thing / Lost cause
JIO10042129,0.99942565,0.9972435,0.002182126,Sure thing / Lost cause
JIO10035992,0.996932,0.9819695,0.014962554,Sure thing / Lost cause
JIO10023472,0.9974654,0.9986725,-0.0012071133,Sure thing / Lost cause
JIO10018465,0.9799019,0.7885976,0.19130433,Persuadable
JIO10018947,0.9999279,0.99973553,0.00019234419,Sure thing / Lost cause
JIO10035765,0.99992096,0.9977441,0.0021768808,Sure thing / Lost cause
JIO10052049,0.99451256,0.975296,0.019216537,Sure thing / Lost cause
JIO10052596,0.9982805,0.9972572,0.0010233521,Sure thing / Lost cause
JIO10048911,0.99999726,0.9993432,0.00065404177,Sure thing / Lost cause
JIO10012208,0.99514294,0.99492645,0.00021648407,Sure thing / Lost cause
JIO10039649,0.10014502,0.5256191,-0.42547408,Sleeping dog (do not disturb)
JIO10018443,0.9993043,0.9998541,-0.00054979324,Sure thing / Lost cause
JIO10010413,0.999759,0.9997081,5.0902367e-05,Sure thing / Lost cause
JIO10008456,0.99947315,0.99927586,0.00019729137,Sure thing / Lost cause
JIO10042794,0.9987739,0.99942845,-0.0006545782,Sure thing / Lost cause
JIO10049758,0.9998153,0.9998006,1.4662743e-05,Sure thing / Lost cause
JIO10025689,0.9997379,0.9945979,0.0051400065,Sure thing / Lost cause
JIO10023430,0.9979838,0.998428,-0.0004441738,Sure thing / Lost cause
JIO10018703,0.999617,0.99841714,0.0011998415,Sure thing / Lost cause
JIO10045166,0.99975747,0.9973471,0.0024103522,Sure thing / Lost cause
JIO10052909,0.99987197,0.9998524,1.9550323e-05,Sure thing / Lost cause
JIO10055357,0.9999541,0.9997781,0.00017601252,Sure thing / Lost cause
JIO10062359,0.9990018,0.9976483,0.0013535023,Sure thing / Lost cause
JIO10043977,0.99967146,0.99522495,0.0044465065,Sure thing / Lost cause
JIO10015575,0.9998423,0.99842846,0.0014138222,Sure thing / Lost cause
JIO10061917,0.9992023,0.99752766,0.0016746521,Sure thing / Lost cause
JIO10012577,0.9971027,0.9727736,0.024329066,Sure thing / Lost cause
JIO10049493,0.99692684,0.9793386,0.017588258,Sure thing / Lost cause
JIO10014473,0.99991786,0.996959,0.0029588938,Sure thing / Lost cause
JIO10059336,0.9837123,0.9922984,-0.008586109,Sure thing / Lost cause
JIO10031230,0.99994826,0.8164959,0.18345237,Persuadable
JIO10034151,0.9999999,0.99999714,2.7418137e-06,Sure thing / Lost cause
JIO10044095,0.9998293,0.99736255,0.0024667382,Sure thing / Lost cause
JIO10033826,0.9998417,0.9999249,-8.3208084e-05,Sure thing / Lost cause
JIO10052453,0.99407417,0.9667736,0.027300537,Sure thing / Lost cause
JIO10048720,0.99978215,0.9999243,-0.00014215708,Sure thing / Lost cause
JIO10037144,0.99975365,0.9995665,0.00018715858,Sure thing / Lost cause
JIO10015705,0.03413939,0.65272063,-0.61858124,Sleeping dog (do not disturb)
JIO10000685,0.9999509,0.99466914,0.0052817464,Sure thing / Lost cause
JIO10021702,0.9821457,0.9249305,0.057215214,Persuadable
JIO10064687,0.6310545,0.8049891,-0.17393458,Sleeping dog (do not disturb)
JIO10054919,0.99996567,0.999498,0.00046765804,Sure thing / Lost cause
JIO10059523,0.99986124,0.98681045,0.013050795,Sure thing / Lost cause
JIO10061022,0.99989736,0.999724,0.00017338991,Sure thing / Lost cause
JIO10039921,0.9991154,0.7717553,0.22736013,Persuadable
JIO10051923,0.9999608,0.99842525,0.0015355349,Sure thing / Lost cause
JIO10039815,0.98734915,0.9882812,-0.00093203783,Sure thing / Lost cause
JIO10063736,0.99998,0.9999957,-1.5735626e-05,Sure thing / Lost cause
JIO10011133,0.9990214,0.99952626,-0.00050485134,Sure thing / Lost cause
JIO10031040,0.9999466,0.9999995,-5.2928925e-05,Sure thing / Lost cause
JIO10056043,0.99999,0.9897984,0.01019156,Sure thing / Lost cause
JIO10002309,0.99872464,0.99427503,0.004449606,Sure thing / Lost cause
JIO10020680,0.9786258,0.99197793,-0.013352156,Sure thing / Lost cause
JIO10040983,0.9998758,0.99919647,0.00067931414,Sure thing / Lost cause
JIO10060480,0.014560278,0.039271656,-0.024711378,Sleeping dog (do not disturb)
JIO10046806,0.9986864,0.99761164,0.0010747313,Sure thing / Lost cause
JIO10013160,0.9972953,0.9980299,-0.00073456764,Sure thing / Lost cause
JIO10032129,0.9955505,0.99277264,0.0027778745,Sure thing / Lost cause
JIO10063148,0.92988163,0.96216947,-0.032287836,Sleeping dog (do not disturb)
JIO10023930,0.11920621,0.7807643,-0.6615581,Sleeping dog (do not disturb)
JIO10063036,0.9998988,0.9961055,0.0037932992,Sure thing / Lost cause
JIO10040819,0.9988674,0.95677763,0.04208976,Sure thing / Lost cause
JIO10051651,0.9999585,0.99969876,0.00025975704,Sure thing / Lost cause
JIO10000815,0.9987006,0.9971131,0.0015875101,Sure thing / Lost cause
JIO10001054,0.9969482,0.9687501,0.028198063,Sure thing / Lost cause
JIO10051137,0.99998486,0.9998035,0.00018137693,Sure thing / Lost cause
JIO10009027,0.999948,0.99607253,0.003875494,Sure thing / Lost cause
JIO10062855,0.9994766,0.9999504,-0.00047379732,Sure thing / Lost cause
JIO10052296,0.9967616,0.9886938,0.008067846,Sure thing / Lost cause
JIO10039905,0.99386,0.9661221,0.027737916,Sure thing / Lost cause
JIO10049617,0.9997888,0.99706274,0.002726078,Sure thing / Lost cause
JIO10005621,0.36876172,0.0950256,0.27373612,Persuadable
JIO10039420,0.99998534,0.99984264,0.00014269352,Sure thing / Lost cause
JIO10006427,0.9842062,0.98952895,-0.0053227544,Sure thing / Lost cause
JIO10051639,0.99980646,0.9842748,0.015531659,Sure thing / Lost cause
JIO10000418,0.9996455,0.98265713,0.016988337,Sure thing / Lost cause
JIO10031531,0.999908,0.999977,-6.902218e-05,Sure thing / Lost cause
JIO10056881,0.9995771,0.9992804,0.00029671192,Sure thing / Lost cause
JIO10060317,0.99982244,0.9983302,0.0014922619,Sure thing / Lost cause
JIO10017583,0.9994479,0.9961034,0.0033444762,Sure thing / Lost cause
JIO10019924,0.9930669,0.9835908,0.009476125,Sure thing / Lost cause
JIO10000607,0.99993193,0.9986802,0.0012517571,Sure thing / Lost cause
JIO10040725,0.9999244,0.9986084,0.001316011,Sure thing / Lost cause
JIO10062331,0.9995503,0.9974343,0.002115965,Sure thing / Lost cause
JIO10046601,0.99990654,0.9914976,0.008408964,Sure thing / Lost cause
JIO10013500,0.9607064,0.97108513,-0.010378718,Sure thing / Lost cause
JIO10024605,0.9819135,0.9894019,-0.00748837,Sure thing / Lost cause
JIO10026487,0.99988043,0.99821633,0.0016641021,Sure thing / Lost cause
JIO10046872,0.99910706,0.99933714,-0.00023007393,Sure thing / Lost cause
JIO10050979,0.99896026,0.9970868,0.0018734336,Sure thing / Lost cause
JIO10022409,0.9995795,0.99755067,0.002028823,Sure thing / Lost cause
JIO10047728,0.9979826,0.99750644,0.0004761815,Sure thing / Lost cause
JIO10057835,0.9969844,0.9990978,-0.002113402,Sure thing / Lost cause
JIO10001366,0.93725276,0.9425237,-0.005270958,Sure thing / Lost cause
JIO10029596,0.98789304,0.975662,0.012231052,Sure thing / Lost cause
JIO10057219,0.9998951,0.99644864,0.0034464598,Sure thing / Lost cause
JIO10017625,0.99999905,0.9995453,0.00045377016,Sure thing / Lost cause
JIO10057265,0.9999163,0.99825686,0.0016594529,Sure thing / Lost cause
JIO10058078,0.99993765,0.9986939,0.0012437701,Sure thing / Lost cause
JIO10049048,0.9981178,0.9975527,0.00056511164,Sure thing / Lost cause
JIO10031997,0.98166555,0.9290903,0.05257523,Persuadable
JIO10029655,0.99994826,0.99996996,-2.169609e-05,Sure thing / Lost cause
JIO10011174,0.9998561,0.99228,0.007576108,Sure thing / Lost cause
JIO10044297,0.99993074,0.99701035,0.0029203892,Sure thing / Lost cause
JIO10045930,0.98310757,0.9355503,0.047557294,Sure thing / Lost cause
JIO10016061,0.99985635,0.99922276,0.0006335974,Sure thing / Lost cause
JIO10010830,0.9992974,0.97571975,0.02357763,Sure thing / Lost cause
JIO10002129,0.99871767,0.9875349,0.011182785,Sure thing / Lost cause
JIO10064536,0.99996364,0.9999577,5.9604645e-06,Sure thing / Lost cause
JIO10012958,0.99771214,0.99866784,-0.0009557009,Sure thing / Lost cause
JIO10030486,0.9926352,0.9654908,0.027144372,Sure thing / Lost cause
JIO10024389,0.99995637,0.99778146,0.0021749139,Sure thing / Lost cause
JIO10055692,0.99985766,0.99570304,0.0041546226,Sure thing / Lost cause
JIO10043090,0.9997508,0.9987311,0.0010197163,Sure thing / Lost cause
JIO10012789,0.9991818,0.99976593,-0.0005841255,Sure thing / Lost cause
JIO10046855,0.99997497,0.9998349,0.00014007092,Sure thing / Lost cause
JIO10041916,0.9945537,0.90488786,0.08966583,Persuadable
JIO10008471,0.9531894,0.9835684,-0.030378997,Sleeping dog (do not disturb)
JIO10034970,0.9999546,0.99998057,-2.5987625e-05,Sure thing / Lost cause
JIO10008341,0.2351796,0.547967,-0.3127874,Sleeping dog (do not disturb)
JIO10009062,0.999864,0.9993369,0.0005270839,Sure thing / Lost cause
JIO10063894,0.99986684,0.9999424,-7.557869e-05,Sure thing / Lost cause
JIO10007443,0.99745625,0.9715887,0.025867581,Sure thing / Lost cause
JIO10025306,0.99854374,0.99476755,0.0037761927,Sure thing / Lost cause
JIO10002791,0.9972905,0.9980938,-0.0008032918,Sure thing / Lost cause
JIO10051337,0.9977034,0.9965785,0.0011248589,Sure thing / Lost cause
JIO10025054,0.99986494,0.9995443,0.00032061338,Sure thing / Lost cause
JIO10030818,0.9999337,0.99954295,0.00039076805,Sure thing / Lost cause
JIO10039884,0.9981281,0.9996748,-0.0015466809,Sure thing / Lost cause
JIO10058714,0.99832016,0.9938554,0.0044647455,Sure thing / Lost cause
JIO10029852,0.87287784,0.9541273,-0.081249475,Sleeping dog (do not disturb)
JIO10044555,0.9999299,0.99999166,-6.175041e-05,Sure thing / Lost cause
JIO10055020,0.99776065,0.9377712,0.059989452,Persuadable
JIO10055563,0.99114686,0.9979323,-0.0067854524,Sure thing / Lost cause
JIO10061744,0.9997645,0.9972037,0.0025607944,Sure thing / Lost cause
JIO10062427,0.99921596,0.9366112,0.062604785,Persuadable
JIO10051823,0.9988814,0.9932488,0.0056325793,Sure thing / Lost cause
JIO10023771,0.12000579,0.45633766,-0.33633187,Sleeping dog (do not disturb)
JIO10013709,0.9978898,0.33558926,0.6623006,Persuadable
JIO10030650,0.99951386,0.99873954,0.00077432394,Sure thing / Lost cause
JIO10040229,0.8876847,0.9190341,-0.03134942,Sleeping dog (do not disturb)
JIO10011915,0.9719729,0.9513046,0.020668268,Sure thing / Lost cause
JIO10027910,0.9995795,0.9998566,-0.000277102,Sure thing / Lost cause
JIO10039827,0.9627586,0.997677,-0.034918427,Sleeping dog (do not disturb)
JIO10044600,0.92535704,0.79518706,0.13016999,Persuadable
JIO10052835,0.998495,0.9996314,-0.0011364222,Sure thing / Lost cause
JIO10002629,0.9866318,0.987874,-0.0012421608,Sure thing / Lost cause
JIO10035443,0.99427396,0.98732066,0.006953299,Sure thing / Lost cause
JIO10045780,0.99985147,0.9966305,0.0032209754,Sure thing / Lost cause
JIO10027764,0.9986106,0.99870944,-9.88245e-05,Sure thing / Lost cause
JIO10005120,0.9997148,0.9995222,0.0001925826,Sure thing / Lost cause
JIO10058031,0.99884486,0.9965778,0.0022670627,Sure thing / Lost cause
JIO10059096,0.9998418,0.9985654,0.0012764335,Sure thing / Lost cause
JIO10059048,0.9999138,0.99992776,-1.3947487e-05,Sure thing / Lost cause
JIO10018837,0.99947065,0.9998307,-0.00036007166,Sure thing / Lost cause
JIO10056422,0.9719453,0.79082096,0.18112433,Persuadable
JIO10046022,0.9998023,0.99987566,-7.337332e-05,Sure thing / Lost cause
JIO10008830,0.99991393,0.99982315,9.0777874e-05,Sure thing / Lost cause
JIO10051502,0.99192715,0.98683536,0.0050917864,Sure thing / Lost cause
JIO10016473,0.9882951,0.96883976,0.019455314,Sure thing / Lost cause
JIO10056892,0.99963653,0.99892575,0.0007107854,Sure thing / Lost cause
JIO10033453,0.9996629,0.9935895,0.0060733557,Sure thing / Lost cause
JIO10049647,0.99983835,0.99839264,0.0014457107,Sure thing / Lost cause
JIO10033490,0.99125177,0.987324,0.0039277673,Sure thing / Lost cause
JIO10015565,0.9999888,0.99997735,1.1444092e-05,Sure thing / Lost cause
JIO10051782,0.9999933,0.9963909,0.0036024451,Sure thing / Lost cause
JIO10063155,0.99336505,0.9648977,0.028467357,Sure thing / Lost cause
JIO10001739,0.188513,0.10292031,0.08559269,Persuadable
JIO10057681,0.99962366,0.99975616,-0.00013250113,Sure thing / Lost cause
JIO10061165,0.9910636,0.91645426,0.07460934,Persuadable
JIO10036889,0.9999192,0.99793243,0.001986742,Sure thing / Lost cause
JIO10045661,0.99955004,0.9979285,0.0016215444,Sure thing / Lost cause
JIO10053730,0.9988248,0.9963838,0.002440989,Sure thing / Lost cause
JIO10048038,0.9996253,0.9992938,0.00033152103,Sure thing / Lost cause
JIO10050691,0.9720572,0.95037055,0.021686673,Sure thing / Lost cause
JIO10031501,0.9119175,0.9456655,-0.03374797,Sleeping dog (do not disturb)
JIO10011953,0.99997246,0.998398,0.0015744567,Sure thing / Lost cause
JIO10055440,0.9999814,0.9998047,0.00017672777,Sure thing / Lost cause
JIO10033337,0.99999297,0.99991345,7.9512596e-05,Sure thing / Lost cause
JIO10011603,0.9998043,0.9952714,0.0045329332,Sure thing / Lost cause
JIO10051449,0.9999069,0.9999809,-7.402897e-05,Sure thing / Lost cause
JIO10050813,0.99847716,0.9969367,0.001540482,Sure thing / Lost cause
JIO10025129,0.9997811,0.9982431,0.0015379786,Sure thing / Lost cause
JIO10056609,0.9999609,0.9989918,0.0009691119,Sure thing / Lost cause
JIO10057959,0.99990857,0.9998248,8.3744526e-05,Sure thing / Lost cause
JIO10036566,0.99988115,0.9821238,0.017757356,Sure thing / Lost cause
JIO10032531,0.99988925,0.99897444,0.0009148121,Sure thing / Lost cause
JIO10002349,0.99990654,0.9992835,0.00062304735,Sure thing / Lost cause
JIO10040844,0.9997975,0.99998236,-0.000184834,Sure thing / Lost cause
JIO10022955,0.99997985,0.99999917,-1.9311905e-05,Sure thing / Lost cause
JIO10020962,0.9923367,0.99283725,-0.0005005598,Sure thing / Lost cause
JIO10021012,0.99994564,0.99984384,0.00010180473,Sure thing / Lost cause
JIO10027564,0.99977165,0.9937687,0.0060029626,Sure thing / Lost cause
JIO10039106,0.99966884,0.9982992,0.0013696551,Sure thing / Lost cause
JIO10030215,0.9987249,0.9986696,5.5253506e-05,Sure thing / Lost cause
JIO10026374,0.99753666,0.9987081,-0.0011714697,Sure thing / Lost cause
JIO10029809,0.9999918,0.99997973,1.2040138e-05,Sure thing / Lost cause
JIO10004438,0.9995204,0.99867094,0.0008494854,Sure thing / Lost cause
JIO10048350,0.9506697,0.89334416,0.057325542,Persuadable
JIO10022902,0.921739,0.9570287,-0.035289705,Sleeping dog (do not disturb)
JIO10008580,0.99990714,0.9997371,0.00017005205,Sure thing / Lost cause
JIO10014186,0.99910384,0.95613813,0.04296571,Sure thing / Lost cause
JIO10028437,0.99996305,0.99956185,0.00040119886,Sure thing / Lost cause
JIO10052414,0.99999785,0.9999007,9.715557e-05,Sure thing / Lost cause
JIO10008457,0.9997855,0.9988458,0.0009396672,Sure thing / Lost cause
JIO10014800,0.58580154,0.75512075,-0.16931921,Sleeping dog (do not disturb)
JIO10042579,0.98655,0.24474713,0.7418028,Persuadable
JIO10014768,0.9975712,0.9992986,-0.0017274022,Sure thing / Lost cause
JIO10052647,0.99921143,0.9890203,0.010191143,Sure thing / Lost cause
JIO10030146,0.053317957,0.12814315,-0.07482519,Sleeping dog (do not disturb)
JIO10015492,0.99371284,0.95786124,0.035851598,Sure thing / Lost cause
JIO10006270,0.9982389,0.9876095,0.0106294155,Sure thing / Lost cause
JIO10051230,0.9966587,0.947585,0.049073696,Sure thing / Lost cause
JIO10048692,0.9999982,0.99913776,0.00086045265,Sure thing / Lost cause
JIO10054769,0.9999274,0.99832886,0.001598537,Sure thing / Lost cause
JIO10050119,0.99999356,0.9999194,7.414818e-05,Sure thing / Lost cause
JIO10036877,0.922755,0.9659314,-0.043176413,Sleeping dog (do not disturb)
JIO10000666,0.99956495,0.9994929,7.2062016e-05,Sure thing / Lost cause
JIO10028571,0.9978371,0.99979883,-0.001961708,Sure thing / Lost cause
