month_end,circle,circle_code,zone,closing_base,gross_adds,churned_subscribers,net_adds,monthly_churn_pct,arpu_inr,data_traffic_pb,port_in_requests,port_out_requests,complaints_logged
2025-03-31 00:00:00,Uttar Pradesh East,UPE,North,44055279,1149072,1062008,87063,2.41,200.34,1750.4,509296,585497,33236
2025-04-30 00:00:00,Uttar Pradesh East,UPE,North,44277106,1373723,1078222,295501,2.44,202.27,1813.1,413075,571786,28821
2025-05-31 00:00:00,Uttar Pradesh East,UPE,North,44498613,1320147,1108882,211265,2.49,204.62,1890.9,405869,554103,41508
2025-06-30 00:00:00,Uttar Pradesh East,UPE,North,44831485,1424568,1147947,276621,2.56,205.73,1809.7,406047,507208,36183
2025-07-31 00:00:00,Uttar Pradesh East,UPE,North,45133876,1213051,1074858,138193,2.38,208.39,1888.3,488198,520791,36543
2025-08-31 00:00:00,Uttar Pradesh East,UPE,North,45344878,1324110,1076114,247995,2.37,209.6,1872.1,477538,551602,34443
2025-09-30 00:00:00,Uttar Pradesh East,UPE,North,45491166,1294127,1107951,186175,2.44,210.44,1787.6,434136,770213,32338
2025-10-31 00:00:00,Uttar Pradesh East,UPE,North,45607129,1310005,1126137,183868,2.47,211.88,1846.9,374859,506197,32086
2025-11-30 00:00:00,Uttar Pradesh East,UPE,North,45675060,1344621,1123249,221371,2.46,213.92,1896.9,415887,642717,28656
2025-12-31 00:00:00,Uttar Pradesh East,UPE,North,45796634,1467512,1086331,381181,2.37,216.11,1854.5,470674,519320,37862
2026-01-31 00:00:00,Uttar Pradesh East,UPE,North,46027895,1229208,1169967,59241,2.54,217.55,1853.1,363760,759316,43442
2026-02-28 00:00:00,Uttar Pradesh East,UPE,North,46253342,1355018,1091033,263984,2.36,219.09,1858.2,429588,741703,37252
2026-03-31 00:00:00,Uttar Pradesh East,UPE,North,46374546,1473941,1163442,310498,2.51,220.96,1854.3,348465,616701,33253
2026-04-30 00:00:00,Uttar Pradesh East,UPE,North,46609453,1244790,1041891,202899,2.24,223.06,1731.2,485783,718650,36700
2026-05-31 00:00:00,Uttar Pradesh East,UPE,North,46782654,1508935,1075467,433468,2.3,224.36,1984.9,444971,785101,34752
2026-06-30 00:00:00,Uttar Pradesh East,UPE,North,47058611,1469954,1204470,265484,2.56,225.6,1946.7,482921,784139,33256
2026-07-31 00:00:00,Uttar Pradesh East,UPE,North,47289392,1201280,1098823,102456,2.32,226.81,1926.6,424064,577094,39787
2026-08-31 00:00:00,Uttar Pradesh East,UPE,North,47515114,1392096,1187207,204888,2.5,227.36,1963.6,468830,860037,33285
2025-03-31 00:00:00,Maharashtra & Goa,MH,West,41346274,819624,622205,197418,1.5,199.87,1616.9,365556,322728,32492
2025-04-30 00:00:00,Maharashtra & Goa,MH,West,41582150,1066714,752237,314477,1.81,201.3,1725.4,420437,445880,27766
