site_id,circle,circle_code,zone,pin_code,technology,subscribers_served,prb_utilisation_pct,avg_sinr_db,drop_call_rate_pct,avg_throughput_mbps,congestion_flag,backhaul
SITE0400865,Madhya Pradesh & Chhattisgarh,MP,North,312411,4G LTE,41868,93.8,1.2,0.61,72.7,TRUE,Fibre
SITE0403169,Uttar Pradesh East,UPE,North,657438,5G NSA,10254,70.6,11.4,0.99,39.8,FALSE,Fibre
SITE0403695,West Bengal,WB,East,767671,4G LTE,8039,43,6,0.5,143.4,FALSE,Fibre
SITE0401573,Gujarat,GJ,West,750765,5G NSA,33805,4.1,12.3,0.15,61.7,FALSE,Fibre
SITE0402155,Uttar Pradesh West,UPW,North,570510,5G SA,18937,32,17,0.37,81.4,FALSE,Microwave
SITE0400974,Maharashtra & Goa,MH,West,684169,4G LTE,17208,50.7,7.8,1.05,149.4,FALSE,Fibre
SITE0400326,Gujarat,GJ,West,140142,4G LTE,26998,28.7,3.3,0.61,39.5,FALSE,Fibre
SITE0403087,Karnataka,KA,South,826615,5G SA,22183,39.9,17.1,0.5,122,FALSE,Fibre
SITE0400729,Bihar & Jharkhand,BH,East,391918,5G SA,28967,70.4,7.8,0.4,42.7,FALSE,Fibre
SITE0403113,West Bengal,WB,East,279267,4G LTE,2846,76.6,8.3,0.14,73,TRUE,Fibre
SITE0401969,Maharashtra & Goa,MH,West,716899,5G NSA,13133,72.2,1.8,0.37,78.4,FALSE,Fibre
SITE0401058,Punjab,PB,North,131487,5G SA,30630,63.2,13.1,0.3,73.5,FALSE,Fibre
SITE0401585,Andhra Pradesh & Telangana,AP,South,773841,5G NSA,20327,35.5,14.5,0.47,71.8,FALSE,Fibre
SITE0402844,Bihar & Jharkhand,BH,East,179188,5G SA,9526,43.1,12,0.3,73.8,FALSE,Fibre
SITE0400778,Uttar Pradesh East,UPE,North,539147,5G SA,42552,42.7,11.4,0.17,69.5,FALSE,Fibre
SITE0402280,Haryana,HR,North,448941,4G LTE,12537,30.7,15.5,0.14,30.6,FALSE,Fibre
SITE0401977,Delhi NCR,DL,North,177043,4G LTE,16303,9.5,14.7,0.34,9.3,FALSE,Fibre
