sr_id,subscriber_id,circle,circle_code,product,sr_category,sr_subcategory,channel,raised_date,sla_days,resolution_days,resolved_date,sla_breach_flag,reopened_flag,status,csat_score
SR300001418,JIO10010610,Haryana,HR,Wireless,Network,No coverage,Retail store,2026-03-07 00:00:00,3,,,TRUE,FALSE,Open,
SR300011836,JIO10022703,Rajasthan,RJ,Wireless,Network,Slow data,Retail store,2026-08-18 00:00:00,3,2.8,2026-08-20 19:12:00,FALSE,FALSE,Closed,4
SR300009270,JIO10045911,Bihar & Jharkhand,BH,Wireless,Device,eSIM activation,MyJio app,2026-08-07 00:00:00,4,2.6,2026-08-09 14:24:00,FALSE,FALSE,Closed,4
SR300005546,JIO10000649,Uttar Pradesh East,UPE,Wireless,Network,Slow data,Web,2026-04-07 00:00:00,3,4.3,2026-04-11 07:12:00,TRUE,TRUE,Closed,2
SR300010369,JIO10017650,Karnataka,KA,Wireless,Billing,Plan mismatch,Call centre,2026-06-18 00:00:00,5,3.1,2026-06-21 02:24:00,FALSE,TRUE,Closed,1
SR300008139,JIO10057264,Kerala,KL,Wireless,Billing,Refund pending,Retail store,2026-03-29 00:00:00,5,2.4,2026-03-31 09:36:00,FALSE,FALSE,Closed,5
SR300001867,JIO10030126,Maharashtra & Goa,MH,Wireless,Provisioning,Activation failure,MyJio app,2026-08-18 00:00:00,7,5.9,2026-08-23 21:36:00,FALSE,TRUE,Closed,4
SR300010294,JIO10017220,Bihar & Jharkhand,BH,Wireless,Billing,Recharge not credited,MyJio app,2026-06-29 00:00:00,5,2.1,2026-07-01 02:24:00,FALSE,TRUE,Closed,2
SR300009447,JIO10023253,Tamil Nadu,TN,Wireless,Device,eSIM activation,MyJio app,2026-04-23 00:00:00,4,,,TRUE,TRUE,Open,
SR300002693,JIO10037793,West Bengal,WB,Wireless,Provisioning,Activation failure,MyJio app,2026-06-23 00:00:00,7,11,2026-07-04 00:00:00,TRUE,FALSE,Closed,2
SR300012116,JIO10000622,Tamil Nadu,TN,Wireless,Network,No coverage,Retail store,2026-05-23 00:00:00,3,6.8,2026-05-29 19:12:00,TRUE,FALSE,Closed,5
SR300006393,JIO10054958,Karnataka,KA,Wireless,Network,Slow data,WhatsApp,2026-05-14 00:00:00,3,1,2026-05-15 00:00:00,FALSE,FALSE,Closed,5
SR300013023,JIO10052921,Madhya Pradesh & Chhattisgarh,MP,Wireless,Billing,Recharge not credited,MyJio app,2026-07-12 00:00:00,5,2.5,2026-07-14 12:00:00,FALSE,FALSE,Closed,4
SR300010978,JIO10005845,Assam,AS,Wireless,Service,Plan change request,MyJio app,2026-07-31 00:00:00,4,4.4,2026-08-04 09:36:00,TRUE,FALSE,Closed,3
SR300006525,JIO10023850,Gujarat,GJ,Wireless,Billing,Refund pending,MyJio app,2026-03-24 00:00:00,5,0.8,2026-03-24 19:12:00,FALSE,FALSE,Closed,5
SR300011501,JIO10028667,Bihar & Jharkhand,BH,Wireless,Billing,Recharge not credited,MyJio app,2026-04-03 00:00:00,5,5.4,2026-04-08 09:36:00,TRUE,FALSE,Closed,1
SR300003941,JIO10022361,Mumbai,MU,Wireless,Provisioning,Activation failure,MyJio app,2026-08-18 00:00:00,7,15.7,2026-09-02 16:48:00,TRUE,FALSE,Closed,1
SR300007562,JIO10023203,Andhra Pradesh & Telangana,AP,JioFiber,Provisioning,Relocation pending,MyJio app,2026-04-20 00:00:00,7,8.7,2026-04-28 16:48:00,TRUE,FALSE,Closed,3
SR300012427,JIO10040979,Odisha,OR,Wireless,Service,Value added service,Retail store,2026-06-09 00:00:00,4,,,TRUE,FALSE,Open,
SR300013823,JIO10017359,Delhi NCR,DL,Wireless,Network,Slow data,Call centre,2026-06-15 00:00:00,3,0.2,2026-06-15 04:48:00,FALSE,FALSE,Closed,5
SR300009018,JIO10010215,Tamil Nadu,TN,Wireless,Network,Slow data,Call centre,2026-08-28 00:00:00,3,5.3,2026-09-02 07:12:00,TRUE,FALSE,Closed,2
SR300010205,JIO10006452,Uttar Pradesh East,UPE,Wireless,Network,No coverage,MyJio app,2026-08-21 00:00:00,3,2.6,2026-08-23 14:24:00,FALSE,FALSE,Closed,1
SR300008609,JIO10031149,Punjab,PB,Wireless,Billing,Recharge not credited,Call centre,2026-06-12 00:00:00,5,2.6,2026-06-14 14:24:00,FALSE,FALSE,Closed,4
SR300013251,JIO10012635,Himachal Pradesh,HP,Wireless,Network,5G not available,Call centre,2026-03-11 00:00:00,3,2.2,2026-03-13 04:48:00,FALSE,TRUE,Closed,2
SR300000714,JIO10024417,Uttar Pradesh East,UPE,Wireless,Network,5G not available,WhatsApp,2026-03-05 00:00:00,3,,,TRUE,FALSE,Open,
