month_end,circle,circle_code,zone,closing_base,gross_adds,churned_subscribers,net_adds,monthly_churn_pct,arpu_inr,data_traffic_pb,port_in_requests,port_out_requests,complaints_logged,churn_ceiling_fy27_pct,review_status,circle_owner,retention_budget_lakh,budget_utilised_lakh,over_ceiling
2026-08-31,Uttar Pradesh East,UPE,North,47515114,1392096,1187207,204888,2.5,227.36,1963.6,468830,860037,33285,2.34,Watch,N. Bose,877.41,565.49,True
2026-08-31,Uttar Pradesh West,UPW,North,30133296,1026828,731027,295800,2.43,229.76,1217.4,305978,465039,22742,2.27,Watch,R. Iyer,1018.6,522.04,True
2026-08-31,Bihar & Jharkhand,BH,East,39137428,1202354,918368,283986,2.35,232.27,1534.1,494087,677182,31472,2.17,On track,R. Iyer,1003.39,503.64,True
2026-08-31,Punjab,PB,North,16688609,501381,388963,112418,2.33,230.41,671.5,143239,173557,8712,2.14,On track,N. Bose,368.11,222.86,True
2026-08-31,Madhya Pradesh & Chhattisgarh,MP,North,35883980,961064,803173,157890,2.24,226.5,1534.2,364353,590414,27836,1.95,Watch,T. Nair,1060.55,513.63,True
2026-08-31,North East,NE,East,5623326,138777,119768,19008,2.13,227.85,237.3,53230,71131,3827,1.84,Escalated,V. Rathore,162.25,106.56,True
2026-08-31,Rajasthan,RJ,North,30425426,689358,625586,63772,2.06,229.39,1281.6,271886,413918,23893,1.78,Escalated,S. Kulkarni,1027.78,442.5,True
2026-08-31,Jammu & Kashmir,JK,North,4463723,114004,89106,24897,2.0,227.31,171.3,35683,49258,3401,1.75,On track,S. Kulkarni,111.09,76.17,True
2026-08-31,West Bengal,WB,East,27696413,658128,550397,107731,1.99,229.82,1120.7,270443,287951,23444,1.83,On track,N. Bose,789.03,547.24,True
2026-08-31,Andhra Pradesh & Telangana,AP,South,36217384,922604,688487,234116,1.9,226.44,1546.7,439012,374948,23366,1.66,Watch,P. Menon,739.89,556.27,True
2026-08-31,Assam,AS,East,9888558,230581,185642,44938,1.88,222.7,399.7,107964,119413,5403,1.69,Watch,S. Kulkarni,310.65,234.2,True
2026-08-31,Odisha,OR,East,16766603,341055,308014,33041,1.84,226.01,723.5,160876,160775,13093,1.59,On track,P. Menon,452.61,340.99,True
2026-08-31,Haryana,HR,North,15628546,370474,283868,86605,1.82,227.65,657.8,128666,164012,12090,1.65,Escalated,V. Rathore,349.61,156.62,True
2026-08-31,Gujarat,GJ,West,30227037,843368,533023,310344,1.76,230.04,1220.5,256494,319035,15407,1.62,Watch,V. Rathore,872.28,767.47,True
2026-08-31,Himachal Pradesh,HP,North,5076118,103423,86426,16996,1.7,225.17,209.7,43062,45547,3799,1.59,On track,V. Rathore,132.27,46.74,True
2026-08-31,Tamil Nadu,TN,South,36349174,668994,596195,72799,1.64,227.83,1474.6,325406,267373,23574,1.41,On track,R. Iyer,1154.21,543.85,True
2026-08-31,Kolkata,KO,East,11158890,252204,181544,70660,1.63,226.37,441.1,87081,73892,7384,1.42,On track,V. Rathore,297.74,254.68,True
2026-08-31,Karnataka,KA,South,33713181,624450,544439,80011,1.61,229.12,1347.4,316763,343468,31198,1.45,Watch,T. Nair,907.51,425.07,True
2026-08-31,Maharashtra & Goa,MH,West,44544028,896703,698569,198134,1.57,223.07,1763.5,413424,481828,28312,1.38,On track,R. Iyer,1379.17,807.67,True
2026-08-31,Kerala,KL,South,22268910,396766,338612,58153,1.52,235.51,842.2,167112,192616,14108,1.39,On track,R. Iyer,596.17,292.24,True
2026-08-31,Delhi NCR,DL,North,17936185,340270,248635,91634,1.39,226.51,748.6,146448,131300,14611,1.22,On track,S. Kulkarni,541.88,450.35,True
2026-08-31,Mumbai,MU,West,16587844,301969,218253,83715,1.32,233.93,676.5,100803,134575,11617,1.19,Escalated,T. Nair,475.03,365.69,True
